term_str,n,p,i,n_chars,h,max_pos,cat_pos,stop,stem_porter,stem_snowball,stem_lancaster
incomprehensibility,2,2.9201343261790043e-06,18.385533834720583,19,5.368822845589308e-05,NN,{'NN'},0,incomprehens,incomprehens,incomprehens
backward,2,2.9201343261790043e-06,18.385533834720583,8,5.368822845589308e-05,JJ,"{'NN', 'JJ'}",0,backward,backward,backward
unusefull,2,2.9201343261790043e-06,18.385533834720583,9,5.368822845589308e-05,JJ,{'JJ'},0,unuseful,unuseful,unuseful
mercyseat,2,2.9201343261790043e-06,18.385533834720583,9,5.368822845589308e-05,NN,{'NN'},0,mercyseat,mercyseat,mercys
testifie,2,2.9201343261790043e-06,18.385533834720583,8,5.368822845589308e-05,NN,{'NN'},0,testifi,testifi,test
denotes,2,2.9201343261790043e-06,18.385533834720583,7,5.368822845589308e-05,VBZ,{'VBZ'},0,denot,denot,denot
zach,2,2.9201343261790043e-06,18.385533834720583,4,5.368822845589308e-05,NN,{'NN'},0,zach,zach,zach
neglecteth,2,2.9201343261790043e-06,18.385533834720583,10,5.368822845589308e-05,VBZ,{'VBZ'},0,neglecteth,neglecteth,neglecte
deuteronomie,2,2.9201343261790043e-06,18.385533834720583,12,5.368822845589308e-05,NN,{'NN'},0,deuteronomi,deuteronomi,deuteronom
heretiques,2,2.9201343261790043e-06,18.385533834720583,10,5.368822845589308e-05,NNS,{'NNS'},0,heretiqu,heretiqu,heret
sichem,2,2.9201343261790043e-06,18.385533834720583,6,5.368822845589308e-05,NN,"{'NN', 'VB'}",0,sichem,sichem,sichem
elisha,2,2.9201343261790043e-06,18.385533834720583,6,5.368822845589308e-05,NN,{'NN'},0,elisha,elisha,elish
retayned,2,2.9201343261790043e-06,18.385533834720583,8,5.368822845589308e-05,VBN,{'VBN'},0,retayn,retayn,retayn
fancying,2,2.9201343261790043e-06,18.385533834720583,8,5.368822845589308e-05,NN,"{'NN', 'VBG'}",0,fanci,fanci,fant
canaanite,2,2.9201343261790043e-06,18.385533834720583,9,5.368822845589308e-05,NN,{'NN'},0,canaanit,canaanit,canaanit
turne,2,2.9201343261790043e-06,18.385533834720583,5,5.368822845589308e-05,VB,"{'VBP', 'VB'}",0,turn,turn,turn
argueth,2,2.9201343261790043e-06,18.385533834720583,7,5.368822845589308e-05,NN,"{'NN', 'VBZ'}",0,argueth,argueth,argue
leviticall,2,2.9201343261790043e-06,18.385533834720583,10,5.368822845589308e-05,JJ,"{'NN', 'JJ'}",0,levitical,levitical,levitical
juices,2,2.9201343261790043e-06,18.385533834720583,6,5.368822845589308e-05,NNS,{'NNS'},0,juic,juic,juic
josias,2,2.9201343261790043e-06,18.385533834720583,6,5.368822845589308e-05,NN,"{'NN', 'NNS'}",0,josia,josia,josia
rolled,2,2.9201343261790043e-06,18.385533834720583,6,5.368822845589308e-05,VBN,{'VBN'},0,roll,roll,rol
departing,2,2.9201343261790043e-06,18.385533834720583,9,5.368822845589308e-05,VBG,{'VBG'},0,depart,depart,depart
fondness,2,2.9201343261790043e-06,18.385533834720583,8,5.368822845589308e-05,NN,{'NN'},0,fond,fond,fond
repressive,2,2.9201343261790043e-06,18.385533834720583,10,5.368822845589308e-05,JJ,{'JJ'},0,repress,repress,repress
chayns,2,2.9201343261790043e-06,18.385533834720583,6,5.368822845589308e-05,NN,{'NN'},0,chayn,chayn,chayn
eleven,2,2.9201343261790043e-06,18.385533834720583,6,5.368822845589308e-05,JJ,"{'JJ', 'VBN'}",0,eleven,eleven,elev
implyed,2,2.9201343261790043e-06,18.385533834720583,7,5.368822845589308e-05,VBN,{'VBN'},0,impli,impli,imply
legible,2,2.9201343261790043e-06,18.385533834720583,7,5.368822845589308e-05,JJ,{'JJ'},0,legibl,legibl,leg
alienable,2,2.9201343261790043e-06,18.385533834720583,9,5.368822845589308e-05,JJ,{'JJ'},0,alien,alien,aly
shines,2,2.9201343261790043e-06,18.385533834720583,6,5.368822845589308e-05,NNS,{'NNS'},0,shine,shine,shin
elijah,2,2.9201343261790043e-06,18.385533834720583,6,5.368822845589308e-05,NN,"{'NN', 'VBZ'}",0,elijah,elijah,elijah
invitation,2,2.9201343261790043e-06,18.385533834720583,10,5.368822845589308e-05,NN,{'NN'},0,invit,invit,invit
filleth,2,2.9201343261790043e-06,18.385533834720583,7,5.368822845589308e-05,VBZ,{'VBZ'},0,filleth,filleth,fille
stans,2,2.9201343261790043e-06,18.385533834720583,5,5.368822845589308e-05,NNS,"{'NNS', 'VBZ'}",0,stan,stan,stan
evangelist,2,2.9201343261790043e-06,18.385533834720583,10,5.368822845589308e-05,NN,{'NN'},0,evangelist,evangelist,evangel
punctum,2,2.9201343261790043e-06,18.385533834720583,7,5.368822845589308e-05,NN,{'NN'},0,punctum,punctum,punct
setling,2,2.9201343261790043e-06,18.385533834720583,7,5.368822845589308e-05,NN,"{'NN', 'VBG'}",0,setl,setl,setl
contractor,2,2.9201343261790043e-06,18.385533834720583,10,5.368822845589308e-05,NN,{'NN'},0,contractor,contractor,contract
potestate,2,2.9201343261790043e-06,18.385533834720583,9,5.368822845589308e-05,NN,{'NN'},0,potest,potest,potest
disputable,2,2.9201343261790043e-06,18.385533834720583,10,5.368822845589308e-05,JJ,{'JJ'},0,disput,disput,disput
standeth,2,2.9201343261790043e-06,18.385533834720583,8,5.368822845589308e-05,VBZ,{'VBZ'},0,standeth,standeth,stande
canticles,2,2.9201343261790043e-06,18.385533834720583,9,5.368822845589308e-05,NNS,{'NNS'},0,canticl,canticl,cantic
liketh,2,2.9201343261790043e-06,18.385533834720583,6,5.368822845589308e-05,VBZ,{'VBZ'},0,liketh,liketh,like
proportionately,2,2.9201343261790043e-06,18.385533834720583,15,5.368822845589308e-05,RB,{'RB'},0,proportion,proportion,proport
endureth,2,2.9201343261790043e-06,18.385533834720583,8,5.368822845589308e-05,IN,"{'IN', 'VBZ'}",0,endureth,endureth,endure
phantasms,2,2.9201343261790043e-06,18.385533834720583,9,5.368822845589308e-05,NNS,{'NNS'},0,phantasm,phantasm,phantasm
farreforth,2,2.9201343261790043e-06,18.385533834720583,10,5.368822845589308e-05,JJ,"{'NN', 'JJ'}",0,farreforth,farreforth,farrefor
longlived,2,2.9201343261790043e-06,18.385533834720583,9,5.368822845589308e-05,JJ,"{'JJ', 'VBN'}",0,longliv,longliv,longl
firmament,2,2.9201343261790043e-06,18.385533834720583,9,5.368822845589308e-05,JJ,"{'NN', 'JJ'}",0,firmament,firmament,firma
imployed,2,2.9201343261790043e-06,18.385533834720583,8,5.368822845589308e-05,JJ,"{'JJ', 'VBD'}",0,imploy,imploy,imploy
profaned,2,2.9201343261790043e-06,18.385533834720583,8,5.368822845589308e-05,VBD,"{'VBN', 'VBD'}",0,profan,profan,prof
nutshell,2,2.9201343261790043e-06,18.385533834720583,8,5.368822845589308e-05,NN,{'NN'},0,nutshel,nutshel,nutshel
vis,2,2.9201343261790043e-06,18.385533834720583,3,5.368822845589308e-05,FW,{'FW'},0,vi,vis,vis
ne,2,2.9201343261790043e-06,18.385533834720583,2,5.368822845589308e-05,FW,"{'NN', 'FW'}",0,ne,ne,ne
herod,2,2.9201343261790043e-06,18.385533834720583,5,5.368822845589308e-05,PDT,"{'VBP', 'PDT'}",0,herod,herod,herod
downe,2,2.9201343261790043e-06,18.385533834720583,5,5.368822845589308e-05,IN,"{'RP', 'IN'}",0,down,down,down
x,2,2.9201343261790043e-06,18.385533834720583,1,5.368822845589308e-05,NN,"{'NN', 'NNP'}",0,x,x,x
incarnate,2,2.9201343261790043e-06,18.385533834720583,9,5.368822845589308e-05,NN,"{'NN', 'VB'}",0,incarn,incarn,incarn
tououpinambos,2,2.9201343261790043e-06,18.385533834720583,13,5.368822845589308e-05,NN,"{'NN', 'NNS'}",0,tououpinambo,tououpinambo,tououpinambo
magistracies,2,2.9201343261790043e-06,18.385533834720583,12,5.368822845589308e-05,NNS,{'NNS'},0,magistraci,magistraci,mag
stream,2,2.9201343261790043e-06,18.385533834720583,6,5.368822845589308e-05,NN,{'NN'},0,stream,stream,stream
attainable,2,2.9201343261790043e-06,18.385533834720583,10,5.368822845589308e-05,JJ,{'JJ'},0,attain,attain,attain
ezekiel,2,2.9201343261790043e-06,18.385533834720583,7,5.368822845589308e-05,NN,"{'NN', 'VBZ'}",0,ezekiel,ezekiel,ezekiel
necessitas,2,2.9201343261790043e-06,18.385533834720583,10,5.368822845589308e-05,IN,"{'NNS', 'IN'}",0,necessita,necessita,necessita
coerceive,2,2.9201343261790043e-06,18.385533834720583,9,5.368822845589308e-05,JJ,{'JJ'},0,coerceiv,coerceiv,coerceiv
contrasted,2,2.9201343261790043e-06,18.385533834720583,10,5.368822845589308e-05,VBN,{'VBN'},0,contrast,contrast,contrast
eos,2,2.9201343261790043e-06,18.385533834720583,3,5.368822845589308e-05,NN,"{'VBP', 'NN'}",0,eo,eo,eo
spokesman,2,2.9201343261790043e-06,18.385533834720583,9,5.368822845589308e-05,NN,{'NN'},0,spokesman,spokesman,spokesm
baumgarten,2,2.9201343261790043e-06,18.385533834720583,10,5.368822845589308e-05,NN,"{'NN', 'VBZ'}",0,baumgarten,baumgarten,baumgart
genoa,2,2.9201343261790043e-06,18.385533834720583,5,5.368822845589308e-05,NN,"{'NN', 'PDT'}",0,genoa,genoa,geno
confuse,2,2.9201343261790043e-06,18.385533834720583,7,5.368822845589308e-05,VB,"{'VBP', 'VB'}",0,confus,confus,confus
amos,2,2.9201343261790043e-06,18.385533834720583,4,5.368822845589308e-05,NN,"{'VBP', 'NN'}",0,amo,amo,amo
jonas,2,2.9201343261790043e-06,18.385533834720583,5,5.368822845589308e-05,NN,"{'NN', 'NNS'}",0,jona,jona,jona
insuper,2,2.9201343261790043e-06,18.385533834720583,7,5.368822845589308e-05,NN,{'NN'},0,insup,insup,insup
solomons,2,2.9201343261790043e-06,18.385533834720583,8,5.368822845589308e-05,NNS,{'NNS'},0,solomon,solomon,solomon
vers,2,2.9201343261790043e-06,18.385533834720583,4,5.368822845589308e-05,NNS,{'NNS'},0,ver,ver,ver
undeterminate,2,2.9201343261790043e-06,18.385533834720583,13,5.368822845589308e-05,JJ,"{'NN', 'JJ'}",0,undetermin,undetermin,undetermin
disputers,2,2.9201343261790043e-06,18.385533834720583,9,5.368822845589308e-05,NNS,{'NNS'},0,disput,disput,disput
rightful,2,2.9201343261790043e-06,18.385533834720583,8,5.368822845589308e-05,JJ,"{'NN', 'JJ'}",0,right,right,right
milke,2,2.9201343261790043e-06,18.385533834720583,5,5.368822845589308e-05,NN,{'NN'},0,milk,milk,milk
indeterminable,2,2.9201343261790043e-06,18.385533834720583,14,5.368822845589308e-05,JJ,{'JJ'},0,indetermin,indetermin,indetermin
disobeyed,2,2.9201343261790043e-06,18.385533834720583,9,5.368822845589308e-05,VBD,"{'VBN', 'VBD'}",0,disobey,disobey,disobey
whereto,2,2.9201343261790043e-06,18.385533834720583,7,5.368822845589308e-05,NN,{'NN'},0,whereto,whereto,whereto
mayst,2,2.9201343261790043e-06,18.385533834720583,5,5.368822845589308e-05,NN,{'NN'},0,mayst,mayst,mayst
meritum,2,2.9201343261790043e-06,18.385533834720583,7,5.368822845589308e-05,NN,{'NN'},0,meritum,meritum,merit
vidimus,2,2.9201343261790043e-06,18.385533834720583,7,5.368822845589308e-05,NN,{'NN'},0,vidimu,vidimus,vidim
propounding,2,2.9201343261790043e-06,18.385533834720583,11,5.368822845589308e-05,NN,{'NN'},0,propound,propound,propound
catch,2,2.9201343261790043e-06,18.385533834720583,5,5.368822845589308e-05,VB,{'VB'},0,catch,catch,catch
winneth,2,2.9201343261790043e-06,18.385533834720583,7,5.368822845589308e-05,NN,"{'NN', 'VBZ'}",0,winneth,winneth,winne
tyranni,2,2.9201343261790043e-06,18.385533834720583,7,5.368822845589308e-05,NN,{'NN'},0,tyranni,tyranni,tyrann
pick,2,2.9201343261790043e-06,18.385533834720583,4,5.368822845589308e-05,VB,"{'VBP', 'VB'}",0,pick,pick,pick
laodicea,2,2.9201343261790043e-06,18.385533834720583,8,5.368822845589308e-05,NN,{'NN'},0,laodicea,laodicea,laodice
tribunalls,2,2.9201343261790043e-06,18.385533834720583,10,5.368822845589308e-05,NNS,{'NNS'},0,tribunal,tribunal,tribunal
energetic,2,2.9201343261790043e-06,18.385533834720583,9,5.368822845589308e-05,JJ,{'JJ'},0,energet,energet,energet
hominis,2,2.9201343261790043e-06,18.385533834720583,7,5.368822845589308e-05,NN,{'NN'},0,homini,homini,homin
aggregation,2,2.9201343261790043e-06,18.385533834720583,11,5.368822845589308e-05,NN,{'NN'},0,aggreg,aggreg,aggreg
rehoboam,2,2.9201343261790043e-06,18.385533834720583,8,5.368822845589308e-05,NN,{'NN'},0,rehoboam,rehoboam,rehoboam
scent,2,2.9201343261790043e-06,18.385533834720583,5,5.368822845589308e-05,NN,{'NN'},0,scent,scent,scent
innocency,2,2.9201343261790043e-06,18.385533834720583,9,5.368822845589308e-05,NN,{'NN'},0,innoc,innoc,innoc
anoint,2,2.9201343261790043e-06,18.385533834720583,6,5.368822845589308e-05,NN,{'NN'},0,anoint,anoint,anoint
bewhich,2,2.9201343261790043e-06,18.385533834720583,7,5.368822845589308e-05,VB,{'VB'},0,bewhich,bewhich,bewhich
lawyer,2,2.9201343261790043e-06,18.385533834720583,6,5.368822845589308e-05,NN,{'NN'},0,lawyer,lawyer,lawy
warfare,2,2.9201343261790043e-06,18.385533834720583,7,5.368822845589308e-05,NN,"{'NN', 'VB'}",0,warfar,warfar,warf
assyrians,2,2.9201343261790043e-06,18.385533834720583,9,5.368822845589308e-05,NNS,{'NNS'},0,assyrian,assyrian,assyr
timorousnesse,2,2.9201343261790043e-06,18.385533834720583,13,5.368822845589308e-05,NN,"{'NN', 'VB'}",0,timorousness,timorousness,tim
sworn,2,2.9201343261790043e-06,18.385533834720583,5,5.368822845589308e-05,VBN,{'VBN'},0,sworn,sworn,sworn
cowardise,2,2.9201343261790043e-06,18.385533834720583,9,5.368822845589308e-05,JJ,"{'NN', 'JJ'}",0,cowardis,cowardis,coward
freestone,2,2.9201343261790043e-06,18.385533834720583,9,5.368822845589308e-05,NN,{'NN'},0,freeston,freeston,freeston
refreshed,2,2.9201343261790043e-06,18.385533834720583,9,5.368822845589308e-05,JJ,"{'JJ', 'VBN'}",0,refresh,refresh,refresh
shades,2,2.9201343261790043e-06,18.385533834720583,6,5.368822845589308e-05,NNS,{'NNS'},0,shade,shade,shad
noises,2,2.9201343261790043e-06,18.385533834720583,6,5.368822845589308e-05,NNS,{'NNS'},0,nois,nois,nois
authentique,2,2.9201343261790043e-06,18.385533834720583,11,5.368822845589308e-05,JJ,{'JJ'},0,authentiqu,authentiqu,authent
captaines,2,2.9201343261790043e-06,18.385533834720583,9,5.368822845589308e-05,NNS,"{'NNS', 'VB'}",0,captain,captain,captain
western,2,2.9201343261790043e-06,18.385533834720583,7,5.368822845589308e-05,JJ,{'JJ'},0,western,western,western
licentious,2,2.9201343261790043e-06,18.385533834720583,10,5.368822845589308e-05,JJ,{'JJ'},0,licenti,licenti,licenty
lax,2,2.9201343261790043e-06,18.385533834720583,3,5.368822845589308e-05,JJ,{'JJ'},0,lax,lax,lax
controlled,2,2.9201343261790043e-06,18.385533834720583,10,5.368822845589308e-05,VBD,{'VBD'},0,control,control,control
blended,2,2.9201343261790043e-06,18.385533834720583,7,5.368822845589308e-05,VBD,{'VBD'},0,blend,blend,blend
unmixed,2,2.9201343261790043e-06,18.385533834720583,7,5.368822845589308e-05,JJ,{'JJ'},0,unmix,unmix,unmix
advocate,2,2.9201343261790043e-06,18.385533834720583,8,5.368822845589308e-05,NN,{'NN'},0,advoc,advoc,advoc
incommodious,2,2.9201343261790043e-06,18.385533834720583,12,5.368822845589308e-05,JJ,{'JJ'},0,incommodi,incommodi,incommody
dalembert,2,2.9201343261790043e-06,18.385533834720583,9,5.368822845589308e-05,JJ,"{'NN', 'JJ'}",0,dalembert,dalembert,dalembert
lily,2,2.9201343261790043e-06,18.385533834720583,4,5.368822845589308e-05,RB,{'RB'},0,lili,lili,lily
accusing,2,2.9201343261790043e-06,18.385533834720583,8,5.368822845589308e-05,NN,"{'NN', 'VBG'}",0,accus,accus,accus
aristides,2,2.9201343261790043e-06,18.385533834720583,9,5.368822845589308e-05,NNS,{'NNS'},0,aristid,aristid,aristid
pascal,2,2.9201343261790043e-06,18.385533834720583,6,5.368822845589308e-05,JJ,"{'NN', 'JJ'}",0,pascal,pascal,pasc
jest,2,2.9201343261790043e-06,18.385533834720583,4,5.368822845589308e-05,NN,"{'NN', 'VB'}",0,jest,jest,jest
recede,2,2.9201343261790043e-06,18.385533834720583,6,5.368822845589308e-05,VB,{'VB'},0,reced,reced,rec
townsmen,2,2.9201343261790043e-06,18.385533834720583,8,5.368822845589308e-05,NNS,{'NNS'},0,townsmen,townsmen,townsm
reported,2,2.9201343261790043e-06,18.385533834720583,8,5.368822845589308e-05,VBN,{'VBN'},0,report,report,report
perverted,2,2.9201343261790043e-06,18.385533834720583,9,5.368822845589308e-05,JJ,"{'JJ', 'VBN'}",0,pervert,pervert,pervert
libertas,2,2.9201343261790043e-06,18.385533834720583,8,5.368822845589308e-05,JJ,"{'NN', 'JJ'}",0,liberta,liberta,liberta
commiseration,2,2.9201343261790043e-06,18.385533834720583,13,5.368822845589308e-05,NN,{'NN'},0,commiser,commiser,com
lain,2,2.9201343261790043e-06,18.385533834720583,4,5.368822845589308e-05,JJ,"{'JJ', 'VBN'}",0,lain,lain,lain
chaplain,2,2.9201343261790043e-06,18.385533834720583,8,5.368822845589308e-05,NN,{'NN'},0,chaplain,chaplain,chaplain
assisting,2,2.9201343261790043e-06,18.385533834720583,9,5.368822845589308e-05,VBG,{'VBG'},0,assist,assist,assist
aboad,2,2.9201343261790043e-06,18.385533834720583,5,5.368822845589308e-05,NN,"{'NN', 'VB'}",0,aboad,aboad,aboad
brittle,2,2.9201343261790043e-06,18.385533834720583,7,5.368822845589308e-05,JJ,{'JJ'},0,brittl,brittl,brittl
macedonians,2,2.9201343261790043e-06,18.385533834720583,11,5.368822845589308e-05,NNS,{'NNS'},0,macedonian,macedonian,macedon
message,2,2.9201343261790043e-06,18.385533834720583,7,5.368822845589308e-05,NN,{'NN'},0,messag,messag,mess
travell,2,2.9201343261790043e-06,18.385533834720583,7,5.368822845589308e-05,VB,"{'VBP', 'VB'}",0,travel,travel,travel
pertaining,2,2.9201343261790043e-06,18.385533834720583,10,5.368822845589308e-05,VBG,{'VBG'},0,pertain,pertain,pertain
masts,2,2.9201343261790043e-06,18.385533834720583,5,5.368822845589308e-05,NNS,{'NNS'},0,mast,mast,mast
amity,2,2.9201343261790043e-06,18.385533834720583,5,5.368822845589308e-05,NN,{'NN'},0,amiti,amiti,am
impenetrability,2,2.9201343261790043e-06,18.385533834720583,15,5.368822845589308e-05,NN,{'NN'},0,impenetr,impenetr,impenet
publishing,2,2.9201343261790043e-06,18.385533834720583,10,5.368822845589308e-05,NN,"{'NN', 'VBG'}",0,publish,publish,publ
entails,2,2.9201343261790043e-06,18.385533834720583,7,5.368822845589308e-05,VBZ,{'VBZ'},0,entail,entail,entail
discordant,2,2.9201343261790043e-06,18.385533834720583,10,5.368822845589308e-05,JJ,{'JJ'},0,discord,discord,discord
manasseh,2,2.9201343261790043e-06,18.385533834720583,8,5.368822845589308e-05,NN,{'NN'},0,manasseh,manasseh,manasseh
intents,2,2.9201343261790043e-06,18.385533834720583,7,5.368822845589308e-05,NNS,{'NNS'},0,intent,intent,int
minutest,2,2.9201343261790043e-06,18.385533834720583,8,5.368822845589308e-05,JJS,{'JJS'},0,minutest,minutest,minutest
writt,2,2.9201343261790043e-06,18.385533834720583,5,5.368822845589308e-05,NN,"{'NN', 'VBD'}",0,writt,writt,writ
displacing,2,2.9201343261790043e-06,18.385533834720583,10,5.368822845589308e-05,VBG,{'VBG'},0,displac,displac,displac
coke,2,2.9201343261790043e-06,18.385533834720583,4,5.368822845589308e-05,NN,"{'VBP', 'NN'}",0,coke,coke,cok
storehouse,2,2.9201343261790043e-06,18.385533834720583,10,5.368822845589308e-05,NN,{'NN'},0,storehous,storehous,storeh
heyre,2,2.9201343261790043e-06,18.385533834720583,5,5.368822845589308e-05,NN,{'NN'},0,heyr,heyr,heyr
interregnum,2,2.9201343261790043e-06,18.385533834720583,11,5.368822845589308e-05,NN,{'NN'},0,interregnum,interregnum,interregn
levite,2,2.9201343261790043e-06,18.385533834720583,6,5.368822845589308e-05,NN,{'NN'},0,levit,levit,levit
conquers,2,2.9201343261790043e-06,18.385533834720583,8,5.368822845589308e-05,NNS,"{'NNS', 'VBZ'}",0,conquer,conquer,conqu
entry,2,2.9201343261790043e-06,18.385533834720583,5,5.368822845589308e-05,NN,{'NN'},0,entri,entri,entry
demandeth,2,2.9201343261790043e-06,18.385533834720583,9,5.368822845589308e-05,NN,{'NN'},0,demandeth,demandeth,demande
tacklings,2,2.9201343261790043e-06,18.385533834720583,9,5.368822845589308e-05,NNS,{'NNS'},0,tackl,tackl,tackl
consults,2,2.9201343261790043e-06,18.385533834720583,8,5.368822845589308e-05,VBZ,{'VBZ'},0,consult,consult,consult
moderated,2,2.9201343261790043e-06,18.385533834720583,9,5.368822845589308e-05,JJ,"{'JJ', 'VBD'}",0,moder,moder,mod
complaine,2,2.9201343261790043e-06,18.385533834720583,9,5.368822845589308e-05,NN,"{'NN', 'VBZ'}",0,complain,complain,complain
lasteth,2,2.9201343261790043e-06,18.385533834720583,7,5.368822845589308e-05,NN,{'NN'},0,lasteth,lasteth,laste
applyeth,2,2.9201343261790043e-06,18.385533834720583,8,5.368822845589308e-05,VBZ,{'VBZ'},0,applyeth,applyeth,applye
maintaine,2,2.9201343261790043e-06,18.385533834720583,9,5.368822845589308e-05,VB,"{'VBP', 'VB'}",0,maintain,maintain,maintain
injust,2,2.9201343261790043e-06,18.385533834720583,6,5.368822845589308e-05,JJ,"{'NN', 'JJ'}",0,injust,injust,injust
forreign,2,2.9201343261790043e-06,18.385533834720583,8,5.368822845589308e-05,JJ,{'JJ'},0,forreign,forreign,forreign
disordered,2,2.9201343261790043e-06,18.385533834720583,10,5.368822845589308e-05,VBD,"{'VBN', 'VBD'}",0,disord,disord,disord
debating,2,2.9201343261790043e-06,18.385533834720583,8,5.368822845589308e-05,VBG,{'VBG'},0,debat,debat,deb
gradation,2,2.9201343261790043e-06,18.385533834720583,9,5.368822845589308e-05,NN,{'NN'},0,gradat,gradat,grad
venality,2,2.9201343261790043e-06,18.385533834720583,8,5.368822845589308e-05,NN,{'NN'},0,venal,venal,ven
verifyed,2,2.9201343261790043e-06,18.385533834720583,8,5.368822845589308e-05,JJ,"{'JJ', 'VBN'}",0,verifi,verifi,ver
fade,2,2.9201343261790043e-06,18.385533834720583,4,5.368822845589308e-05,VBD,"{'VBP', 'VBD'}",0,fade,fade,fad
cheer,2,2.9201343261790043e-06,18.385533834720583,5,5.368822845589308e-05,NN,{'NN'},0,cheer,cheer,che
praetermitted,2,2.9201343261790043e-06,18.385533834720583,13,5.368822845589308e-05,VBD,"{'VBN', 'VBD'}",0,praetermit,praetermit,praetermit
sealed,2,2.9201343261790043e-06,18.385533834720583,6,5.368822845589308e-05,VBD,"{'VBN', 'VBD'}",0,seal,seal,seal
misinterpreting,2,2.9201343261790043e-06,18.385533834720583,15,5.368822845589308e-05,VBG,{'VBG'},0,misinterpret,misinterpret,misinterpret
sylla,2,2.9201343261790043e-06,18.385533834720583,5,5.368822845589308e-05,NN,{'NN'},0,sylla,sylla,syll
vertuous,2,2.9201343261790043e-06,18.385533834720583,8,5.368822845589308e-05,JJ,{'JJ'},0,vertuou,vertuous,vertu
conteined,2,2.9201343261790043e-06,18.385533834720583,9,5.368822845589308e-05,VBN,{'VBN'},0,contein,contein,contein
azure,2,2.9201343261790043e-06,18.385533834720583,5,5.368822845589308e-05,JJ,"{'NN', 'JJ'}",0,azur,azur,az
dissipated,2,2.9201343261790043e-06,18.385533834720583,10,5.368822845589308e-05,VBN,{'VBN'},0,dissip,dissip,dissip
enterprises,2,2.9201343261790043e-06,18.385533834720583,11,5.368822845589308e-05,NNS,{'NNS'},0,enterpris,enterpris,enterpr
drowsy,2,2.9201343261790043e-06,18.385533834720583,6,5.368822845589308e-05,NN,{'NN'},0,drowsi,drowsi,drowsy
abundant,2,2.9201343261790043e-06,18.385533834720583,8,5.368822845589308e-05,JJ,{'JJ'},0,abund,abund,abund
interprets,2,2.9201343261790043e-06,18.385533834720583,10,5.368822845589308e-05,NNS,"{'NNS', 'VBZ'}",0,interpret,interpret,interpret
quoted,2,2.9201343261790043e-06,18.385533834720583,6,5.368822845589308e-05,VBN,{'VBN'},0,quot,quot,quot
tormenters,2,2.9201343261790043e-06,18.385533834720583,10,5.368822845589308e-05,NNS,{'NNS'},0,torment,torment,tor
sings,2,2.9201343261790043e-06,18.385533834720583,5,5.368822845589308e-05,NNS,"{'NNS', 'VBZ'}",0,sing,sing,sing
uprightnesse,2,2.9201343261790043e-06,18.385533834720583,12,5.368822845589308e-05,JJ,"{'NN', 'JJ'}",0,uprightness,uprightness,upright
repay,2,2.9201343261790043e-06,18.385533834720583,5,5.368822845589308e-05,VB,{'VB'},0,repay,repay,repay
lookingglass,2,2.9201343261790043e-06,18.385533834720583,12,5.368822845589308e-05,NN,{'NN'},0,lookingglass,lookingglass,lookingglass
appellatives,2,2.9201343261790043e-06,18.385533834720583,12,5.368822845589308e-05,NNS,{'NNS'},0,appel,appel,appel
affinity,2,2.9201343261790043e-06,18.385533834720583,8,5.368822845589308e-05,NN,{'NN'},0,affin,affin,affin
unquenchable,2,2.9201343261790043e-06,18.385533834720583,12,5.368822845589308e-05,JJ,{'JJ'},0,unquench,unquench,unquench
pollux,2,2.9201343261790043e-06,18.385533834720583,6,5.368822845589308e-05,NN,{'NN'},0,pollux,pollux,pollux
infringe,2,2.9201343261790043e-06,18.385533834720583,8,5.368822845589308e-05,JJ,"{'JJ', 'VB'}",0,infring,infring,infr
lignum,2,2.9201343261790043e-06,18.385533834720583,6,5.368822845589308e-05,JJ,"{'NN', 'JJ'}",0,lignum,lignum,lign
sicily,2,2.9201343261790043e-06,18.385533834720583,6,5.368822845589308e-05,RB,{'RB'},0,sicili,sicili,sicy
yeelding,2,2.9201343261790043e-06,18.385533834720583,8,5.368822845589308e-05,NN,{'NN'},0,yeeld,yeeld,yeeld
threatnings,2,2.9201343261790043e-06,18.385533834720583,11,5.368822845589308e-05,NNS,{'NNS'},0,threatn,threatn,threatnings
deferred,2,2.9201343261790043e-06,18.385533834720583,8,5.368822845589308e-05,VBN,{'VBN'},0,defer,defer,defer
authorising,2,2.9201343261790043e-06,18.385533834720583,11,5.368822845589308e-05,VBG,{'VBG'},0,authoris,authoris,auth
sufficeth,2,2.9201343261790043e-06,18.385533834720583,9,5.368822845589308e-05,NN,"{'NN', 'VBZ'}",0,sufficeth,sufficeth,suffice
blindnesse,2,2.9201343261790043e-06,18.385533834720583,10,5.368822845589308e-05,NN,{'NN'},0,blindness,blindness,blind
divider,2,2.9201343261790043e-06,18.385533834720583,7,5.368822845589308e-05,NN,{'NN'},0,divid,divid,divid
angells,2,2.9201343261790043e-06,18.385533834720583,7,5.368822845589308e-05,NNS,{'NNS'},0,angel,angel,angel
withheld,2,2.9201343261790043e-06,18.385533834720583,8,5.368822845589308e-05,NN,"{'NN', 'VBN'}",0,withheld,withheld,withheld
bakers,2,2.9201343261790043e-06,18.385533834720583,6,5.368822845589308e-05,NNS,{'NNS'},0,baker,baker,bak
vineyards,2,2.9201343261790043e-06,18.385533834720583,9,5.368822845589308e-05,NNS,{'NNS'},0,vineyard,vineyard,vineyard
